"year","month","clinical_presentation","cases"
2023,"Jan","Mild",59
2023,"Jan",NA,0
2024,"Jan","Mild",5
2024,"Jan",NA,0
2023,"Fev","Mild",43
2023,"Fev",NA,0
2024,"Fev","Mild",9
2024,"Fev",NA,0
2023,"Mar","Mild",23
2023,"Mar",NA,0
2024,"Mar","Mild",6
2024,"Mar",NA,0
2023,"Abr","Mild",1
2023,"Abr",NA,0
2024,"Abr","Mild",5
2024,"Abr",NA,22
2023,"Mai","Mild",1
2023,"Mai",NA,0
2024,"Mai","Mild",0
2024,"Mai",NA,43
2023,"Jun","Mild",2
2023,"Jun",NA,0
2024,"Jun","Mild",0
2024,"Jun",NA,0
2023,"Jul","Mild",0
2023,"Jul",NA,0
2024,"Jul","Mild",0
2024,"Jul",NA,0
2023,"Ago","Mild",2
2023,"Ago",NA,0
2024,"Ago","Mild",0
2024,"Ago",NA,0
2023,"Set","Mild",0
2023,"Set",NA,0
2024,"Set","Mild",0
2024,"Set",NA,0
2023,"Out","Mild",2
2023,"Out",NA,0
2024,"Out","Mild",0
2024,"Out",NA,0
2023,"Nov","Mild",1
2023,"Nov",NA,0
2024,"Nov","Mild",0
2024,"Nov",NA,0
2023,"Dez","Mild",2
2023,"Dez",NA,0
2024,"Dez","Mild",0
2024,"Dez",NA,0
