"year","month","age_group","cases"
2022,"Jan","30 a 59",1
2022,"Jan","0 a 11",0
2022,"Jan","60 e mais",0
2022,"Jan","12 a 17",0
2022,"Jan","18 a 29",1
2023,"Jan","30 a 59",1
2023,"Jan","0 a 11",0
2023,"Jan","60 e mais",1
2023,"Jan","12 a 17",0
2023,"Jan","18 a 29",0
2024,"Jan","30 a 59",0
2024,"Jan","0 a 11",1
2024,"Jan","60 e mais",0
2024,"Jan","12 a 17",0
2024,"Jan","18 a 29",1
2022,"Fev","30 a 59",0
2022,"Fev","0 a 11",0
2022,"Fev","60 e mais",1
2022,"Fev","12 a 17",0
2022,"Fev","18 a 29",5
2023,"Fev","30 a 59",1
2023,"Fev","0 a 11",0
2023,"Fev","60 e mais",0
2023,"Fev","12 a 17",0
2023,"Fev","18 a 29",2
2024,"Fev","30 a 59",0
2024,"Fev","0 a 11",0
2024,"Fev","60 e mais",0
2024,"Fev","12 a 17",0
2024,"Fev","18 a 29",0
2022,"Mar","30 a 59",2
2022,"Mar","0 a 11",0
2022,"Mar","60 e mais",1
2022,"Mar","12 a 17",0
2022,"Mar","18 a 29",0
2023,"Mar","30 a 59",0
2023,"Mar","0 a 11",0
2023,"Mar","60 e mais",0
2023,"Mar","12 a 17",0
2023,"Mar","18 a 29",1
2024,"Mar","30 a 59",0
2024,"Mar","0 a 11",0
2024,"Mar","60 e mais",0
2024,"Mar","12 a 17",0
2024,"Mar","18 a 29",0
2022,"Abr","30 a 59",3
2022,"Abr","0 a 11",0
2022,"Abr","60 e mais",2
2022,"Abr","12 a 17",1
2022,"Abr","18 a 29",2
2023,"Abr","30 a 59",1
2023,"Abr","0 a 11",0
2023,"Abr","60 e mais",1
2023,"Abr","12 a 17",0
2023,"Abr","18 a 29",0
2024,"Abr","30 a 59",0
2024,"Abr","0 a 11",0
2024,"Abr","60 e mais",0
2024,"Abr","12 a 17",0
2024,"Abr","18 a 29",0
2022,"Mai","30 a 59",6
2022,"Mai","0 a 11",0
2022,"Mai","60 e mais",3
2022,"Mai","12 a 17",0
2022,"Mai","18 a 29",2
2023,"Mai","30 a 59",2
2023,"Mai","0 a 11",0
2023,"Mai","60 e mais",2
2023,"Mai","12 a 17",1
2023,"Mai","18 a 29",4
2024,"Mai","30 a 59",0
