"year","month","cases"
2017,"Jan",6
2018,"Jan",3
2019,"Jan",21
2020,"Jan",85
2021,"Jan",7
2022,"Jan",43
2023,"Jan",63
2024,"Jan",4
2017,"Fev",6
2018,"Fev",2
2019,"Fev",37
2020,"Fev",43
2021,"Fev",12
2022,"Fev",33
2023,"Fev",122
2024,"Fev",1
2017,"Mar",6
2018,"Mar",2
2019,"Mar",89
2020,"Mar",20
2021,"Mar",32
2022,"Mar",40
2023,"Mar",212
2024,"Mar",0
2017,"Abr",1
2018,"Abr",0
2019,"Abr",100
2020,"Abr",11
2021,"Abr",31
2022,"Abr",25
2023,"Abr",153
2024,"Abr",0
2017,"Mai",5
2018,"Mai",2
2019,"Mai",100
2020,"Mai",6
2021,"Mai",29
2022,"Mai",39
2023,"Mai",131
2024,"Mai",0
2017,"Jun",2
2018,"Jun",0
2019,"Jun",66
2020,"Jun",3
2021,"Jun",19
2022,"Jun",34
2023,"Jun",45
2024,"Jun",0
2017,"Jul",9
2018,"Jul",10
2019,"Jul",125
2020,"Jul",2
2021,"Jul",19
2022,"Jul",22
2023,"Jul",49
2024,"Jul",0
2017,"Ago",7
2018,"Ago",6
2019,"Ago",121
2020,"Ago",7
2021,"Ago",27
2022,"Ago",22
2023,"Ago",35
2024,"Ago",0
2017,"Set",2
2018,"Set",5
2019,"Set",229
2020,"Set",0
2021,"Set",14
2022,"Set",5
2023,"Set",20
2024,"Set",0
2017,"Out",4
2018,"Out",3
2019,"Out",426
2020,"Out",9
2021,"Out",26
2022,"Out",28
2023,"Out",37
2024,"Out",0
2017,"Nov",3
2018,"Nov",9
2019,"Nov",292
2020,"Nov",8
2021,"Nov",23
2022,"Nov",45
2023,"Nov",30
2024,"Nov",0
2017,"Dez",7
2018,"Dez",8
2019,"Dez",108
2020,"Dez",17
2021,"Dez",48
2022,"Dez",50
2023,"Dez",27
2024,"Dez",0
