"year","month","clinical_presentation","cases"
2017,"Jan","Alarming",0
2017,"Jan","Mild",0
2017,"Jan","Severe",0
2018,"Jan","Alarming",0
2018,"Jan","Mild",0
2018,"Jan","Severe",0
2019,"Jan","Alarming",0
2019,"Jan","Mild",1
2019,"Jan","Severe",0
2020,"Jan","Alarming",12
2020,"Jan","Mild",3
2020,"Jan","Severe",0
2021,"Jan","Alarming",14
2021,"Jan","Mild",6
2021,"Jan","Severe",0
2022,"Jan","Alarming",0
2022,"Jan","Mild",0
2022,"Jan","Severe",0
2017,"Fev","Alarming",0
2017,"Fev","Mild",0
2017,"Fev","Severe",0
2018,"Fev","Alarming",0
2018,"Fev","Mild",1
2018,"Fev","Severe",0
2019,"Fev","Alarming",0
2019,"Fev","Mild",2
2019,"Fev","Severe",0
2020,"Fev","Alarming",2
2020,"Fev","Mild",3
2020,"Fev","Severe",0
2021,"Fev","Alarming",0
2021,"Fev","Mild",0
2021,"Fev","Severe",0
2022,"Fev","Alarming",2
2022,"Fev","Mild",39
2022,"Fev","Severe",0
2017,"Mar","Alarming",0
2017,"Mar","Mild",0
2017,"Mar","Severe",0
2018,"Mar","Alarming",0
2018,"Mar","Mild",0
2018,"Mar","Severe",0
2019,"Mar","Alarming",0
2019,"Mar","Mild",0
2019,"Mar","Severe",0
2020,"Mar","Alarming",1
2020,"Mar","Mild",0
2020,"Mar","Severe",0
2021,"Mar","Alarming",0
2021,"Mar","Mild",0
2021,"Mar","Severe",0
2022,"Mar","Alarming",1
2022,"Mar","Mild",44
2022,"Mar","Severe",0
2017,"Abr","Alarming",0
2017,"Abr","Mild",2
2017,"Abr","Severe",0
2018,"Abr","Alarming",0
2018,"Abr","Mild",0
2018,"Abr","Severe",0
2019,"Abr","Alarming",0
2019,"Abr","Mild",0
2019,"Abr","Severe",0
2020,"Abr","Alarming",0
2020,"Abr","Mild",1
2020,"Abr","Severe",0
2021,"Abr","Alarming",0
2021,"Abr","Mild",0
2021,"Abr","Severe",0
2022,"Abr","Alarming",0
2022,"Abr","Mild",8
2022,"Abr","Severe",0
2017,"Mai","Alarming",0
2017,"Mai","Mild",2
2017,"Mai","Severe",0
2018,"Mai","Alarming",0
2018,"Mai","Mild",0
2018,"Mai","Severe",0
2019,"Mai","Alarming",0
2019,"Mai","Mild",0
2019,"Mai","Severe",0
2020,"Mai","Alarming",0
2020,"Mai","Mild",0
2020,"Mai","Severe",0
2021,"Mai","Alarming",0
2021,"Mai","Mild",0
2021,"Mai","Severe",0
