"year","month","cases"
2017,"Jan",0
2018,"Jan",0
2019,"Jan",1
2020,"Jan",15
2021,"Jan",20
2022,"Jan",0
2017,"Fev",0
2018,"Fev",1
2019,"Fev",2
2020,"Fev",5
2021,"Fev",0
2022,"Fev",41
2017,"Mar",0
2018,"Mar",0
2019,"Mar",0
2020,"Mar",1
2021,"Mar",0
2022,"Mar",45
2017,"Abr",2
2018,"Abr",0
2019,"Abr",0
2020,"Abr",1
2021,"Abr",0
2022,"Abr",8
2017,"Mai",2
2018,"Mai",0
2019,"Mai",0
2020,"Mai",0
2021,"Mai",0
2022,"Mai",5
2017,"Jun",0
2018,"Jun",0
2019,"Jun",0
2020,"Jun",0
2021,"Jun",0
2022,"Jun",9
2017,"Jul",0
2018,"Jul",0
2019,"Jul",0
2020,"Jul",0
2021,"Jul",0
2022,"Jul",0
2017,"Ago",0
2018,"Ago",0
2019,"Ago",0
2020,"Ago",0
2021,"Ago",0
2022,"Ago",0
2017,"Set",0
2018,"Set",0
2019,"Set",0
2020,"Set",1
2021,"Set",0
2022,"Set",0
2017,"Out",0
2018,"Out",0
2019,"Out",0
2020,"Out",2
2021,"Out",0
2022,"Out",0
2017,"Nov",2
2018,"Nov",0
2019,"Nov",0
2020,"Nov",1
2021,"Nov",0
2022,"Nov",0
2017,"Dez",2
2018,"Dez",0
2019,"Dez",4
2020,"Dez",2
2021,"Dez",0
2022,"Dez",0
